color,part,quantity,part_id
Light Salmon,Scala Roof End Slope 22 x 2 x 12 1/3,2,33055
Light Salmon,"Scala Wall, Arched 18 x 2 x 22 2/3",1,6906
Light Salmon,"Scala Wall, Diamond Shaped Window 8 x 2 x 8",2,6904
Light Yellow,"Scala Wall, Vertical Grooved 18 x 2 x 22 2/3, with Tudor Frame Light Salmon on White Print",1,6892pb01c01
Light Yellow,"Scala Wall, Vertical Grooved 40 x 2 x 22 2/3 with Door, with Tudor Frame Light Salmon on White Print [5404]",1,6890pb01c01
Salmon,Scala Door Mullioned - Hinged 10 x 1 x 18 2/3,1,6896b
Salmon,Scala Roof Large with Window,1,33034
White,Scala Baseplate 44 x 22 with 4 holes,2,6821
White,Scala Door Frame - Hinged 14 x 3 x 21 1/3,1,6895b
White,Scala Plate 4 x 4,4,33062
White,Scala Roof Window,1,33035
White,"Scala Support L 18 Studs Long, Complete Assembly",2,33037c01
White,"Scala Support L 40 Studs Long, Complete Assembly",2,33036c01
White,"Scala Support Tall, Type 1, Complete Assembly - 28.5 Studs Long",4,33232c01
White,Support 2 x 2 x 8 Scala,3,x7
