color,part,quantity,part_id
Black,Grille 6 x 4 x 3 [Two Pins &amp; Two Pin Holes],1,30632
Black,"Hook, Wide",1,x1315
Black,Tyre 30.4 x 14 Offset Tread,6,30391
Blue,Brick 2 x 3,1,3002
Blue,Slope 33º 3 x 1,2,4286
Chrome Silver,Fuel Tank 2 x 4 [Two Pins],2,45408
Dark Gray,Vehicle Base 4 x 14 x 2 1/3,1,30642
Light Gray,Wheel 30.4 x 14 [Tread Small Hub],6,30285
Orange,Cockpit 6 x 6 x 5 with Hinge,1,30619
Orange,"Hook, Fabuland Tow Hook - Arm, 2 x 4 Base",1,3997
Orange,"Vehicle, Engine Block 4 x 6 x 2 with Wedge Cutouts and Technic Holes",1,45407
Orange,Windscreen 4 x 6 x 4 Cab with Hinge and 1 x 4 Bottom Cutout and Tow Truck Print [4652],1,45406pb02
Trans-Black,Glass for Windscreen 4 x 6 x 4 Cab with Hinge [Fits 45406],1,46103
Unknown,Minifig - 4 Juniors,1,4j001
