color,part,quantity,part_id
Black,Brick 1 x 2,1,3004
Black,Hinge Brick 1 x 2 Top Plate Thin,1,3938
Black,Hips and Legs [Complete Assembly],1,970c00
Black,"Hips and Legs with Belt, Sash, and Buckles Print",1,970c00pb054
Black,Horse with Persian Blanket Print,1,75998pr0002
Black,"Minifig, Headgear Keffiyeh",2,88287
Black,Scorpion,1,30169
Black,Tile 1 x 2 with Groove,1,3069b
Black,Tile 2 x 2 with Groove,1,3068b
Dark Blue,Hips and Legs [Complete Assembly],1,970c00
Dark Blue,Torso Armor with Large Disc and Chain Mail Print / Dark Blue Arms / Light Flesh Hands,1,973pb647c01
Dark Bluish Gray,Cone 1 x 1 [Top Groove],2,4589b
Dark Bluish Gray,Round 1 x 1 - 3 Bamboo Leaves,1,30176
Dark Bluish Gray,Torso Armor Vest with Silver and Dark Blue Print / Black Arms / Light Flesh Hands,1,973pb646c01
Dark Brown,Minifig Hair Mid-Length Tousled with Center Part,1,88283
Dark Brown,Minifig Scabbard for Two Katanas,1,88290
Dark Brown,Minifig Spear,2,4497
Dark Brown,Torso Armor Ribbed with Disc and Two Buckles Print / Light Flesh Arms / Light Flesh Hands,1,973pb645c01
Dark Tan,Bush 2 x 2 x 4,1,6064
Dark Tan,Plate 2 x 4,1,3020
Dark Tan,Slope 45º 2 x 1,1,3040b
Light Bluish Gray,Hinge Brick 1 x 2 Base,1,3937
Light Bluish Gray,Slope 30º 1 x 1 x 2/3 [aka Cheese Slope],2,50746
Light Flesh,"Minifig Head Dual Sided Beard Stubble, Bushy Eyebrows, Determined / Grin Print",1,3626bpb417
Light Flesh,"Minifig, Head Beard, Moustache, Large Eyepatch, Determined Expression Print",1,3626bpb421
Light Flesh,"Minifig, Head Trimmed Beard, Moustache, Silver Cheek Mark, Determined Expression Print",1,3626bpb420
Pearl Light Gray,Minifig Bladed Claw,2,88811
Pearl Light Gray,Minifig Sword [Shamshir - Square Guard],2,30173b
Pearl Light Gray,"Minifig, Armor Shoulder Pads Spiky",1,88295
Red,Snake,1,30115
Reddish Brown,Bar 6L with Stop Ring,1,63965
Sand Blue,Saddle [Two Clips],1,4491b
Speckle Black-Silver,Minifig Axe Head [Clip-on],2,53705
Tan,Brick 1 x 1,1,3005
Tan,Brick 1 x 4,1,3010
Tan,Plate 2 x 3,1,3021
Tan,Plate 4 x 4,1,3031
Tan,Slope 45º 2 x 1,2,3040b
Tan,Tile 1 x 2 with Groove,1,3069b
Tan,Wedge Plate 4 x 4 Cut Corner,2,30503
Trans-Green,Rock 1 x 1 Jewel 24 Facet,1,30153
Trans-Red,Rock 1 x 1 Jewel 24 Facet,1,30153
White,Arm Skeleton,2,6265
White,Leg Skeleton,2,6266
White,Minifig Skull Standard Print,1,82359
White,Torso Skeleton [Thin Shoulder Pins],1,6260
