color,part,quantity,part_id
Dark Green,"Large Figure Barb, Flame (Ben 10)",4,88964
Red,"Large Figure Barb, Flame (Ben 10)",4,88964
Red,Large Figure Head Modified Ben 10 Swampfire with Black Face Print,1,88519
Sand Green,Large Figure Arm / Leg Section with 2 Ball Joint Sockets (Ben 10),4,87839
Sand Green,Large Figure Arm / Leg Section with 2 Ball Joints (Ben 10),4,87840
Sand Green,Large Figure Claw with Ball Joint Socket (Ben 10),2,87837
Sand Green,"Large Figure Foot, Short with Ball Joint Socket (Ben 10)",2,87841
Sand Green,Large Figure Torso Skeletal with Ball Joints (Ben 10),1,89469
