color,part,quantity,part_id
Bright Green,Apple,1,33051
Dark Pink,Scala Vase 3 x 3,1,6995
Earth Orange,Croissant,2,33125
Green,Apple,1,33051
Medium Blue,"Scala Accessories - Complete Sprue - Table Containers (Wine, Milk, 2 Jars)",1,33011
Medium Lime,Scala / Belville Flower Pot,1,33008
Red,Cherries,2,22667
Red,Hot Dog,2,33078
Red,Scala Utensil Cordless Phone,1,x14
Trans-Clear,Dish 5 x 5 Scala,1,6942
Trans-Light Blue,Minifig Goblet Large,2,33061
Trans-Red,Popsicle [aka Lollipop],2,30222
White,Antenna 1 x 4,1,3957
White,Scala Baby Bottle / Water Bottle,1,6206
Yellow,Banana,2,33085
Yellow,"Minifig, Utensil Teapot (Belville / Scala)",1,33006
Yellow,Scala Utensil Cup,2,33054
