color,part,quantity,part_id
Black,Minifig Pot Cauldron 3 x 3 x 1 & 3/4 with Handles,1,4341
Blue,Brick 1 x 2,2,3004
Blue,Fabuland Window 2 x 4 x 5 with Square Top,2,4608
Blue,Minifig Cup,1,3899
Blue,Plate 2 x 6,1,3795
Red,Bar 6L with Stop Ring,1,63965
Red,Container - Box 4 x 4 x 2 Bottom with Semicircle Cut-out Ends,2,4461
Red,"Container, Box 6 x 8 x 1 1/3 Bottom",1,4082
Red,Fabuland Boat,1,4793
Red,Fabuland Chair,2,4222a
Red,"Minifig Umbrella Top with No Bottom Flaps, 6 x 6 [No Top Stud]",1,4094a
White,Fabuland Caravan Roof,1,2135
Yellow,Fabuland Car Chassis 12 x 6 Old (with Hitch) - Complete Assembly,1,x852c01
Yellow,Fabuland Caravan Body (Assembly),1,2137c01
Yellow,Fabuland Caravan Front,1,x617
Yellow,Fabuland Fishing Rod,1,4327
Yellow,Fabuland Oar with Ring Handle,2,4794a
Yellow,Minifig Cup,1,3899
Yellow,Plate 6 x 10,1,3033
