color,part,quantity,part_id
Black,Brick 2 x 2 [Red Wheels for Single Tyre],2,3137c01
Black,Plate 2 x 4,2,3020
Black,Slope 45º 2 x 1,2,3040b
Black,Tile 2 x 2 with Groove,1,3068b
Black,Tyre Smooth Small Dually,2,7b
Black,Tyre Smooth Small Single,8,3139
Blue,"Vehicle, Trailer Base 4 x 8 Bed with Red Wheels",1,817c01
Red,Brick 2 x 2 [Red Wheels for Single Tyre],1,3137c01
Red,Brick 2 x 3 without Cross Supports,1,3002old
Red,"Brick, Modified 2 x 2 with Wheels Red for Dually Tire",1,3137c02
Red,Plate 1 x 2,1,3023
Red,Plate 2 x 2,2,3022
Red,Plate 2 x 4,1,3020
Red,Plate 2 x 8,1,3034
Trans-Clear,Brick 1 x 2,2,3004
Trans-Clear,Plate 1 x 2,1,3023
Trans-Clear,Slope 45º 2 x 2,1,3039
Trans-Clear,Slope 45º 2 x 4,1,3037
Yellow,Brick 1 x 4 with Black Legoland Logo Print,2,3010p30
Yellow,Brick 1 x 4 with Chrome Car Grill Print [Undetermined],1,3010pb035u
Yellow,Brick Round 1 x 1 Open Stud,2,3062b
Yellow,Plate 1 x 2,2,3023
Yellow,Plate 4 x 10,1,3030
Yellow,"Plate Special 1 x 4 with Towball Socket, Long, 4 Slots",1,3183b
