color,part,quantity,part_id
(No Color),Dacta Storage Case with Sliding Clear Cover and Insert (set 1032),1,case1032c01
Black,Plate 1 x 3,4,3623
Black,Plate 1 x 4,4,3710
Black,Plate 1 x 6,4,3666
Black,Plate 1 x 8,4,3460
Black,Plate 2 x 3,4,3021
Black,Plate 2 x 4 [3 Holes],6,3709b
Black,Plate 2 x 8 [7 Holes],4,3738
Black,Rubber Band Large (Square Cross Section),5,x138
Black,Rubber Band Medium (Square Cross Section),5,x264
Black,Rubber Band Small [Square Profile],3,x151
Black,"String, Cord Thin",1,x77a
Black,Technic Axle 10,2,3737
Black,Technic Axle 12,2,3708
Black,Technic Axle 4,6,3705
Black,Technic Axle 6,4,3706
Black,Technic Axle 8,2,3707
Black,Technic Chain Link,90,3711
Black,Technic Wedge Belt Wheel Tyre,4,70162
Green,Brick 8 x 16,1,4204
Light Gray,Electric 4.5V 3 C-Cell Battery Box with Switch 4 x 24 Complete Assembly,1,4350c02
Light Gray,Electric Motor 4.5V Type 2 for 2-prong connectors WITH middle pin,1,6216m2
Light Gray,Technic Axle and Pin Connector,8,3651
Light Gray,Technic Bush,16,3713
Light Gray,Technic Bush 1/2 Toothed Type I [+ Opening],10,4265a
Light Gray,Technic Gear 14 Tooth Bevel,6,4143
Light Gray,Technic Gear 16 Tooth with Round Holes [Old Style],2,4019
Light Gray,Technic Gear 24 Tooth Crown (Undetermined Type),2,3650
Light Gray,Technic Gear 24 Tooth [Old Style - Three axle holes],4,3648a
Light Gray,Technic Gear 8 Tooth,4,3647
Light Gray,Technic Gear Rack 1 x 4,2,3743
Light Gray,Technic Universal Joint 4L [Complete Assembly],1,9244
Light Gray,Technic Wedge Belt Wheel [aka Pulley],6,4185
Light Gray,"Technic, Gear 40 Tooth",2,3649
Light Gray,"Technic, Gear Differential (Old Style, 28 Teeth)",1,73071
Light Gray,"Technic, Gear Worm Screw",2,4716
Light Gray,"Technic, Pin without Friction Ridges Lengthwise",16,3673
Light Gray,"Technic, Steering Pulley Large",1,3736
Light Gray,Wire 12V / 4.5V [Two 2-prong connectors / 96 Studs Long],1,766c96
Red,Brick 2 x 4,4,3001
Red,Plate Round 2 x 2 with Axle Hole,4,4032
Red,Technic Brick 1 x 12 with Holes,2,3895
Red,Technic Brick 1 x 16 with Holes,2,3703
Red,Technic Brick 1 x 2 [1 Hole],12,3700
Red,Technic Brick 1 x 4 [3 Holes],8,3701
Red,Technic Brick 1 x 6 [5 Holes],2,3894
Red,Technic Brick 1 x 8 [7 Holes],2,3702
