color,part,quantity,part_id
Black,Minifig Camera Movie Style,1,30148
Black,Tyre Smooth Small Wide Slick,4,30028
Blue,Hips and Legs [Complete Assembly],1,970c00
Blue,Minifig Cap Long Peak,1,4485
Dark Gray,Brick 2 x 2 Curved Top with Two Top Studs,1,30165
Light Gray,Bar 1 x 3 [Clip / Anti-Stud],1,4735
Light Gray,Bar 1 x 4 x 2,1,6187
Light Gray,Plate Special 2 x 2 with Wheels Holder Wide,2,6157
Light Gray,Slope 45º 2 x 1 Triple,1,3048
Light Gray,"Wheel 8mm D. x 9mm (for slicks), hole type undetermined",4,30027u
White,"Torso Studios Cameraman ID, Logo, Pen, and Clapboard on Back Print / White Arms / Yellow Hands",1,973px64c01
Yellow,"Minifig, Head Moustache Brown Hair, Glasses on Forehead, Raised Eyebrow Print",1,3626bpx32
Yellow,Plate 2 x 6,1,3795
