color,part,quantity,part_id
Bright Green,Carrot Top,1,33183
Bright Light Orange,Brick 1 x 2,3,3004
Bright Light Orange,Brick 1 x 4,2,3010
Bright Light Orange,Flag 2 x 2 Square,1,2335
Bright Light Orange,Plate 2 x 2,2,3022
Bright Pink,Plate 2 x 6,2,3795
Bright Pink,Plate 4 x 8,1,3035
Bright Pink,Tile 1 x 4,2,2431
Dark Brown,Minifig Hair - Long with Curls,1,93352
Dark Pink,"Plant Flower Small, Sprue of Four",1,3742c01
Green,Flower Stem,1,3741
Green,Plate 8 x 8,1,41539
Green,Plate Special 1 x 2 with 1 Stud [aka Jumper],1,3794
Green,Round 1 x 1 - 3 Bamboo Leaves,2,30176
Light Aqua,"Friends Hips and Legs, Layered Skirt, Medium Dark Flesh Legs and Magenta Shoes Print",1,92818pr0006c01
Light Bluish Gray,Plate Round 1 x 1 Straight Side,1,4073
Light Bluish Gray,Plate Special 1 x 2 Side Handle [Free Ends],1,2540
Light Bluish Gray,Plate Special 1 x 2 [Top Clip],2,92280
Light Bluish Gray,Tap 1 x 1 No Hole in End,1,4599b
Lime,Plate 2 x 6,3,3795
Magenta,Plate 1 x 6,2,3666
Medium Dark Flesh,"Minifig Head Friends - Green Eyes, Pale Pink Lips Print",1,11816
Medium Dark Flesh,"Torso Friends Lime Halter Neck Top with Musical Notes and Butterfly Print, Medium Dark Flesh Arms and Hands",1,92456pr0021c01
Orange,Carrot,1,33172
Pearl Gold,Container - Bucket 1 x 1 x 1 Handle,1,95344
Red,Bucket 1 x 1 x 1,1,95343
Red,Plate 1 x 2,2,3023
Reddish Brown,Minifig Broom,1,3836
Trans-Light Blue,Brick Round 1 x 1 Open Stud,1,3062b
Trans-Light Blue,Plate Round 1 x 1 Straight Side,1,4073
White,Brick 1 x 4,2,3010
White,Brick 1 x 6,1,3009
White,Brick Arch 1 x 3,2,4490
White,Brick Arch 1 x 6 Raised Arch,2,92950
White,Brick Special 1 x 1 with Clip Vertical [Open O Clip] - Hollow Stud,2,30241b
White,Door 1 x 3 x 1 Left,1,3822
White,Fence 1 x 4 x 1,3,3633
White,Friends Bunny Rabbit Sitting with Blue Eyes and Pink Nose and Mouth Print,1,11821
White,Picket Fence 1 x 4 x 2,2,33303
White,Plate 2 x 2 Corner,1,2420
White,Plate 2 x 4,1,3020
White,Plate Special 1 x 2 with End Handle [Closed Ends],2,60478
