color,part,quantity,part_id
Black,Tyre Offset Tread Small Wide [Centre Band],4,87697
Bright Pink,Cone 1 x 1 [No Top Groove],1,4589
Bright Pink,Friends Accessories Comb with Handle and 3 Hearts,1,93080d
Bright Pink,"Friends Accessories Glasses, Heart Shaped with Pin",1,93080k
Bright Pink,"Friends Accessories Glasses, Oval Shaped with Pin",1,93080l
Bright Pink,Friends Accessories Hair Brush with Heart on Reverse,1,93080a
Bright Pink,"Friends Accessories Hair Decoration, Bow with Pin",3,93080j
Bright Pink,"Friends Accessories Hair Decoration, Butterfly with Pin",2,93080i
Bright Pink,"Friends Accessories Hair Decoration, Flower with 5 Smooth Petals and Pin",2,93080g
Bright Pink,"Friends Accessories Hair Decoration, Flower with Serrated Petals and Pin",2,93080h
Bright Pink,"Friends Accessories Hair Decoration, Heart with Pin",2,93080e
Bright Pink,"Friends Accessories Hair Decoration, Star with Pin",2,93080f
Bright Pink,"Friends Accessories Hair Decoration, Tiara with 5 Points and Pin",1,93080m
Bright Pink,Friends Accessories Hair Dryer,1,93080c
Bright Pink,Friends Accessories Hand Mirror with Heart on Reverse,1,93080b
Bright Pink,Tile 1 x 2 with Cell Phone / Music Player Print,1,3069bpr0155
Dark Bluish Gray,"Brick, Round 2 x 2 Dome Top - Hollow Stud with Bottom Axle Holder x Shape + Orientation",1,553c
Dark Bluish Gray,Plate 1 x 1 - Horizontal Clip,1,6019
Dark Bluish Gray,Plate 2 x 10,1,3832
Dark Pink,Belville Bucket without Handle,1,48245
Dark Pink,Friends Accessories Basket,1,93092
Dark Pink,Plate Round 1 x 1 with Flower Edge [4 Petals],2,33291
Green,Leaves 4 x 3,1,2423
Light Bluish Gray,Plate 1 x 2,2,3023
Light Bluish Gray,Plate 2 x 4,3,3020
Light Bluish Gray,Plate 4 x 10,1,3030
Light Bluish Gray,Plate Round 2 x 2 with Rounded Bottom [Boat Stud],1,2654
Light Bluish Gray,Plate Special 2 x 2 with Wheel Holder,4,4488
Light Bluish Gray,Tap 1 x 1 No Hole in End,1,4599b
Light Bluish Gray,"Tile 1 x 2 with Red 82, Yellow and White Gauges Print",1,3069bpr0101
Medium Azure,Brick Round 1 x 1 Open Stud,1,3062b
Medium Azure,Mudguard 4 x 2 1/2 x 2 with Arch Round,4,50745
Medium Azure,Panel 1 x 1 x 1 Corner,2,6231
Medium Azure,Panel 1 x 2 x 1 [Rounded Corners],3,4865b
Medium Azure,Plate 1 x 6,2,3666
Medium Azure,Plate 2 x 2,1,3022
Medium Azure,Plate 4 x 6,1,3032
Medium Azure,Plate Special 1 x 1 Clip Light [Thick Ring],2,4081b
Medium Azure,Slope 30º 1 x 1 x 2/3 [aka Cheese Slope],4,50746
Medium Azure,Tile 1 x 4,2,2431
Medium Dark Flesh,"Friends Puppy Standing with Blue Eyes, Black Nose and Mouth Print",1,11820
Medium Lavender,Plate 1 x 1,4,3024
Medium Lavender,Plate 1 x 4,2,3710
Medium Lavender,Plate 1 x 8,2,3460
Medium Lavender,Plate 2 x 6,4,3795
Medium Lavender,Slope 30º 1 x 2 x 2/3,4,85984
Medium Lavender,Slope Curved 3 x 1 No Studs,2,50950
Medium Lavender,Slope Inverted 45Â° 6 x 1 Double with 1 x 4 Cutout,2,52501
Medium Lavender,Tile 1 x 6,1,6636
Medium Lavender,Wedge 4 x 6 x 2/3 Triple Curved,1,52031
Metallic Silver,Tile 1 x 2 Grill with Bottom Groove,2,2412b
Pearl Gold,Tap 1 x 2 with Dual Handles,1,6936
Trans-Clear,Brick Round 2 x 2 x 1 2/3 Dome Top,1,30151
Trans-Clear,Windscreen 3 x 6 x 1 Curved,1,62360
Trans-Orange,Plate Round 1 x 1 Straight Side,2,4073
Trans-Red,Plate Round 1 x 1 Straight Side,2,4073
Trans-Red,Slope 30º 1 x 1 x 2/3 [aka Cheese Slope],2,50746
Trans-Yellow,Cone 1 x 1 [No Top Groove],1,4589
Trans-Yellow,Plate Round 1 x 1 Straight Side,2,4073
White,Bar 6L with Stop Ring,1,63965
White,Bracket 1 x 2 - 2 x 2,1,44728
White,Brick 1 x 2,2,3004
White,Plate 1 x 4,2,3710
White,Plate 4 x 4,2,3031
White,Plate Special 2 x 2 with Groove and Centre Stud,1,87580
White,Tile 1 x 2 Grill with Bottom Groove,4,2412b
White,Tile 1 x 2 with Groove,1,3069b
White,Wheel 11.5mm D. x 12mm [Hole Notched for Wheel Snap Pin],4,6014b
Yellow,Bracket 1 x 2 - 2 x 4,2,93274
Yellow,Brick 1 x 2,4,3004
Yellow,Brick 1 x 4,2,3010
Yellow,Panel 1 x 2 x 1 with Rounded Corners and Central Divider,2,93095
Yellow,Plate 1 x 2,2,3023
Yellow,Plate 2 x 4,2,3020
Yellow,Slope 45º 2 x 2,1,3039
Yellow,Tile 2 x 2 with Groove,4,3068b
Yellow,"Vehicle, Steering Column 1 x 2 with Black Steering Wheel",1,3829c01
