color,part,quantity,part_id
Blue,Plate Round 2 x 2 with Axle Hole,1,4032
Dark Blue,Hips and Sand Blue Legs with Good Wizard Print,1,970c55pb01
Dark Bluish Gray,Brick Round 2 x 2,1,3941
Light Bluish Gray,"Plate, Round 4 x 4 with Pin Hole",1,60474
Reddish Brown,Bar 4L Lightsaber Blade,1,30374
Reddish Brown,Brick Round 1 x 1 Open Stud,2,3062b
Reddish Brown,Plate 1 x 3,1,3623
Reddish Brown,Plate 2 x 2,1,3022
Sand Blue,"Minifig, Headgear Hat, Wizards with Gold Buckle and Stars Print",1,6131pb02
Sand Blue,Torso Plain / Sand Blue Arms / Yellow Hands,1,973c50
Trans-Clear,Minifig Crystal Ball Globe 2 x 2 x 2,1,30106
Trans-Yellow,Rock 1 x 1 Jewel 24 Facet,1,30153
White,"Minifig, Beard",1,6132
White,"Owl Large, Rounded Features",1,40232
Yellow,"Minifig, Head Beard Gray Fading to White Hair, White Pupils Print (King Mathias)",1,3626bpb222
