color,part,quantity,part_id
Red,Window 1 x 6 x 2 with Shutters [Old Style Extended Lip &amp; Glass],8,646bc01
White,Window 1 x 6 x 2 with Shutters [Old Style Extended Lip &amp; Glass],8,646bc01
