color,part,quantity,part_id
Black,Minifig Flipper,2,2599
Black,Minifig Helmet Visor Underwater,1,6090
Blue,Minifig Flipper,2,2599
Blue,Slope 45° 2 x 2 with Aquazone Print,1,3039pb19
Chrome Silver,Minifig Harpoon,2,57467
Chrome Silver,Minifig Knife,2,37
Chrome Silver,Rock 1 x 1 Crystal 5 Point,2,30385
Dark Gray,Minifig Helmet - Underwater [Aquashark],1,6089
Red,Minifig Helmet Visor Underwater,1,6090
Trans-Dark Blue,Minifig Helmet Visor Underwater,1,6090
Trans-Neon Orange,Propeller 3 Blade 3 Diameter,1,6041
White,Minifig Helmet Visor Aquazone,1,6088
Yellow,Slope 45° 2 x 2 with Aquazone Print,1,3039pb19
Yellow,Tile  1 x  2 with Underwater Navigation Print,2,3069bps9
Yellow,"Tile Round 2 x 2 with Black Background, Yellow Submarine Print",1,4150px16
