color,part,quantity,part_id
Black,Arm Grab Jaw,4,4221
Black,Brick 1 x 2,20,3004
Black,Brick 1 x 4,6,3010
Black,Brick 2 x 2,20,3003
Black,Brick 2 x 2 Corner,4,2357
Black,Brick 2 x 4,25,3001
Black,Brick 2 x 6,6,2456
Black,Brick 2 x 8,8,3007
Black,Brick Round 2 x 2,8,3941
Black,"Electric Wire with Brick 2 x 2 x 2/3 Pair, 15 Studs Long",6,5306bc015
Black,Hinge Plate 1 x 2 with 3 Fingers and Hollow Studs,2,4275b
Black,Hinge Tile 1 x 2 1/2 with 2 Fingers on Top,2,4531
Black,"Hose, Ribbed 7mm D. 8L",4,78c08
Black,Plate 1 x 1 - Horizontal Clip,2,6019
Black,Plate Round 1 x 1 Straight Side,2,4073
Black,Plate Round 2 x 2 with Rounded Bottom [Boat Stud],2,2654
Black,Plate Special 1 x 1 with Clip Vertical [Thick U Clip],2,4085c
Black,Rubber Band [Square Cross Section],4,x88
Black,Slope 45º 2 x 1,12,3040b
Black,Slope Inverted 33º 3 x 2 [Connections between Studs],4,3747b
Black,Slope Inverted 45º 2 x 1,4,3665
Black,Technic Axle 10,4,3737
Black,Technic Axle 12,2,3708
Black,Technic Axle 2 Notched,10,32062
Black,Technic Axle 4,7,3705
Black,Technic Axle 6,8,3706
Black,Technic Axle 8,7,3707
Black,Technic Beam 1 x 7 Thin,4,32065
Black,Technic Beam 1 x 9 Bent (6 - 4) Thick,4,6629
Black,Technic Beam 2 x 4 L-Shape Thick,2,32140
Black,Technic Brick 1 x 10 [9 Holes],8,2730
Black,Technic Brick 1 x 12 with Holes,6,3895
Black,Technic Brick 1 x 16 with Holes,6,3703
Black,Technic Brick 1 x 2 [1 Hole],12,3700
Black,Technic Brick 1 x 4 [3 Holes],10,3701
Black,Technic Brick 1 x 6 [5 Holes],8,3894
Black,Technic Brick 1 x 8 [7 Holes],8,3702
Black,Technic Pin Long with Friction Ridges Lengthwise,8,6558
Black,Technic Pin with Friction and Slots,24,2780
Black,Technic Wedge Belt Wheel Tyre,2,70162
Black,"Technic, Gear Worm Screw",4,4716
Black,"Technic, Steering Arm with Pins",2,32069
Black,"Tread Large, Technic [34 Links]",2,680c01
Black,Tyre 17 x 43,4,3634
Black,Tyre 30 x 10.5 Offset Tread,4,2346
Black,Tyre 30.4 x 14 VR,2,6578
Black,Tyre 49.6 x 28 VR,2,6594
Black,Tyre 81.6 x 15 Motorcycle,4,2902
Black,Tyre Offset Tread,2,3483
Blue,Electric Light Sensor - Fixed Lead,2,2982c01
Blue,Plate 2 x 2,4,3022
Blue,Plate Round 1 x 1 Straight Side,2,4073
Blue,Plate Round 2 x 2 with Axle Hole,2,4032
Blue,Technic Axle and Pin Connector Angled #1,4,32013
Blue,Technic Axle and Pin Connector Angled #2 - 180°,2,32034
Blue,Technic Axle and Pin Connector Angled #6 - 90°,4,32014
Blue,Technic Axle and Pin Connector Perpendicular 3L with Centre Pin Hole,2,32184
Blue,Technic Beam 1 x 4 Thin,2,32449
Blue,Technic Beam 3 x 5 L-Shape with Quarter Ellipse Thin,2,32250
Blue,Technic Rubber Belt 24mm Diameter,3,85544
Blue,"Technic, Pin Long with Friction Ridges Lengthwise and Stop Bush",4,32054
Blue,Tile 1 x 2 with Groove,4,3069b
Blue,"Turntable 2 x 2 Plate, Complete Assembly with Light Gray Top",2,3680c01
Bright Green,Dacta Storage Bin Large,1,bin03
Chrome Silver,Train Base 6 x 22 Old,1,x902
Dark Gray,"Arm Piece with Pin, 2 Fingers",2,6048
Dark Gray,"Electric, IR Transmitter Tower, Serial with Black Front",1,x87
Dark Gray,"Human Tool, Brick Separator",1,6007
Dark Gray,Technic Axle 3 with Stud,2,6587
Dark Gray,Technic Brick 1 x 2 [2 Holes],2,32000
Dark Gray,Technic Pin 3/4,16,32002
Dark Gray,"Technic, Gear Differential, 24-16 Teeth",1,6573
Dark Turquoise,"Hose, Ribbed 7mm D. 8L",4,78c08
Green,Brick 1 x 2,4,3004
Green,Brick 2 x 3 with Curved Top,4,6215
Green,Brick 2 x 4,1,3001
Green,Plate 2 x 2,2,3022
Green,Plate 2 x 8,4,3034
Green,Plate 3 x 6 Cut Corners,2,2419
Green,Slope 45º 2 x 2,3,3039
Green,Technic Brick 1 x 2 with Axle Hole [X Opening],8,32064b
Green,Technic Brick 1 x 4 [3 Holes],2,3701
Light Gray,Bracket 2 x 2 - 2 x 2,4,3956
Light Gray,Electric 9V Micromotor Pulley,4,2983
Light Gray,Electric Motor 9V 5 x 4 x 2 1/3,2,2838c01
Light Gray,Electric Touch Sensor,2,879
Light Gray,IR Transmitter Tower Serial Cable,1,71793
Light Gray,Plate 1 x 1,8,3024
Light Gray,Plate 1 x 10,6,4477
Light Gray,Plate 1 x 2,20,3023
Light Gray,Plate 1 x 4,10,3710
Light Gray,Plate 1 x 6,10,3666
Light Gray,Plate 1 x 8,8,3460
Light Gray,Plate 2 x 10,6,3832
Light Gray,Plate 2 x 2,8,3022
Light Gray,Plate 2 x 2 Corner,8,2420
Light Gray,Plate 2 x 4 [3 Holes],4,3709b
Light Gray,Plate 2 x 6 [5 Holes],4,32001
Light Gray,Plate 2 x 8 [7 Holes],8,3738
Light Gray,Plate 6 x 10,1,3033
Light Gray,Plate Special 1 x 2 with Door Rail,8,32028
Light Gray,Plate Special 2 x 2 with 2 Pin Holes,4,2817
Light Gray,Technic Axle 3,3,4519
Light Gray,Technic Axle 5,2,32073
Light Gray,Technic Axle Connector [Ridged with x hole x orientation],8,6538b
Light Gray,Technic Axle Connector with Axle Hole,8,32039
Light Gray,Technic Axle and Pin Connector Angled #5 - 112.5°,4,32015
Light Gray,Technic Axle and Pin Connector Perpendicular,6,6536
Light Gray,Technic Axle and Pin Connector Perpendicular 3L with Pin Hole,2,32068
Light Gray,Technic Beam 1 x 3 Thin,4,6632
Light Gray,Technic Beam 1 x 4 Thin with Stud Connector,2,2825
Light Gray,Technic Beam 1 x 5 Thin,4,32017
Light Gray,Technic Beam 3 x 3 L-Shape Thin,4,32056
Light Gray,Technic Bush,40,3713
Light Gray,Technic Bush 1/2 Smooth,18,4265c
Light Gray,Technic Cam,2,6575
Light Gray,Technic Engine Crankshaft Center,2,2854
Light Gray,Technic Gear 12 Tooth Bevel,8,6589
Light Gray,Technic Gear 16 Tooth with Round Holes [Old Style],4,4019
