color,part,quantity,part_id
Black,"Electric, Motor RC with Flexible Superaxles",1,45805c01
Green,Technic Rubber Belt 24mm Diameter,1,85544
Light Bluish Gray,Technic Bush RC Car Wheel Flexible,2,45799
Light Bluish Gray,"Technic, Spike Connector Pin Double 3L",2,45575
