color,part,quantity,part_id
Black,Bar 1 x 3 [Clip / Anti-Stud],2,4735
Black,Brick 1 x 2 x 5,2,2454
Black,Brick Round 1 x 1 Open Stud,4,3062b
Black,Minifig Hair Flat Top,1,30608
Black,Minifig Hair Male,1,3901
Black,Minifig Saucepan,1,4529
Black,Minifig Shield - Ovoid with Silver Snake Print,1,2586ph2
Black,"Minifig, Cape Cloth, Standard with Star Print",3,522px1
Black,"Owl Large, Rounded Features",1,40232
Black,Plate 1 x 1 - Horizontal Clip,2,6019
Black,Plate 1 x 2,8,3023
Black,Plate 1 x 3,2,3623
Black,Plate 1 x 4,3,3710
Black,Plate Round 1 x 1 Straight Side,3,4073
Black,Plate Special 1 x 2 with Arm Up [Horizontal Arm 6mm],1,4623
Black,Snake,2,30115
Brown,Bar 4L Lightsaber Blade,3,30374
Brown,Plate 2 x 3,1,3021
Brown,Plate 2 x 4,1,3020
Dark Gray,Brick 1 x 12,1,6112
Dark Gray,Brick 1 x 2,1,3004
Dark Gray,Brick 1 x 6,2,3009
Dark Gray,Brick Arch 1 x 8 x 2,1,3308
Dark Gray,Plate 1 x 6,1,3666
Dark Gray,Plate 6 x 14,1,3456
Green,Brick 1 x 1 with Handle,2,2921
Green,Plate Special 1 x 2 with 1 Stud [aka Jumper],1,3794
Green,Slope 33º 3 x 1,4,4286
Light Gray,Brick 1 x 2,2,3004
Light Gray,Brick 1 x 2 x 5,4,2454
Light Gray,Brick 1 x 6 x 5 with Stone and Slytherin Snake Print (4735),1,3754pb02
Light Gray,Hinge Plate 1 x 4 Swivel Upper / Lower [Complete Assembly],2,2429c01
Light Gray,Hips and Legs [Complete Assembly],3,970c00
Light Gray,Minifig Sword [Shortsword],1,3847
Light Gray,Plate 1 x 2,2,3023
Light Gray,Plate 1 x 4,2,3710
Light Gray,Slope Inverted 45º 2 x 1,2,3665
Light Gray,Torso Harry Potter Uniform Slytherin Shield Print / Light Gray Arms / Yellow Hands,3,973px147c01
Tan,Minifig Hair Male,1,3901
Trans-Clear,Minifig Goblet,1,2343
Trans-Dark Blue,Brick Round 1 x 1 Open Stud,1,3062b
Trans-Green,Dish 2 x 2 Inverted [Radar],2,4740
Trans-Green,Rock 1 x 1 Jewel 24 Facet,1,30153
Trans-Neon Green,Brick Round 1 x 1 Open Stud,1,3062b
Trans-Neon Orange,Wave / Flame Rounded with Base Pins,2,6126
Trans-Red,Brick Round 1 x 1 Open Stud,1,3062b
Trans-Red,Plate 1 x 1,1,3024
White,Tile 2 x 2 with Black Scroll and Red Spell Print,1,3068bp40
Yellow,Minifig Head with Gregory Goyle/Harry Potter 2-Sided Print,1,3626bph4
Yellow,Minifig Head with Tan Eyebrows and Frown Print,1,3626bph2
Yellow,Minifig Head with Vincent Crabbe/Ron Weasley 2-Sided Print,1,3626bph5
